"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.663271163E0	4.147244692E-1	4.450008869E-1	1.910982132E-1	6.376054437E-1
3.679936334E0	4.674752951E-1	8.942117691E-1	2.059593201E-1	1.029838376E0
3.696647941E0	2.881460190E-1	1.415114164E0	-3.675937653E-2	1.444620185E0
3.713357026E0	1.766463518E-1	6.157711744E-1	1.270112991E-1	6.530772871E-1
3.730067738E0	6.619465351E-1	6.871202588E-1	1.484508514E-1	9.655801990E-1
3.746734342E0	6.503891945E-1	8.568717241E-1	-6.721305847E-2	1.077846395E0
3.763443377E0	-1.698192358E-1	7.786327600E-1	-2.904958725E-1	8.482307468E-1
3.780164465E0	4.818253517E-1	5.124299526E-1	1.256189346E-1	7.145069927E-1
3.796874414E0	1.027198792E0	3.157200217E-1	4.363431931E-1	1.159832691E0
3.813585534E0	2.275450230E-1	6.601785421E-1	2.045440674E-1	7.276336444E-1
3.830296044E0	3.036315441E-1	7.905555964E-1	1.417455673E-1	8.586396633E-1
3.847046082E0	4.706946611E-1	-9.243749082E-3	1.472072601E-1	4.932635080E-1
3.863757445E0	7.077214718E-1	7.196533680E-2	8.218765259E-2	7.161029965E-1
3.880435291E0	4.100927114E-1	-1.494850218E-2	-1.127605438E-1	4.255754104E-1
3.897151771E0	5.719017982E-1	4.070752859E-2	5.264949799E-2	5.757610089E-1
3.913862118E0	1.916706562E-1	4.937781692E-1	-1.171140671E-1	5.424667967E-1
3.930572637E0	3.838675022E-1	-7.767528296E-3	1.010255814E-1	3.970148131E-1
3.947283481E0	6.880561113E-1	2.232881486E-1	7.801818848E-2	7.275751833E-1
3.963994265E0	4.101673961E-1	2.441656590E-2	1.142282486E-1	4.264757370E-1
3.980732128E0	4.432523847E-1	-2.733021975E-3	1.047391891E-1	4.554672806E-1
3.997437601E0	5.652227402E-1	-2.280551493E-1	4.596710205E-3	6.095137627E-1
4.014168599E0	-1.057839394E-2	-7.459712029E-1	-7.005310059E-2	7.493279488E-1
4.030851773E0	4.300699234E-1	-6.855395436E-1	-1.041603088E-2	8.093411509E-1
4.047589148E0	7.683395147E-1	-1.828475595E-1	1.273441315E-2	7.898993640E-1
4.064279658E0	3.737437725E-2	-6.676449180E-1	1.451873779E-1	6.842703817E-1
4.080991000E0	1.569839716E-1	-7.492367029E-1	2.362499237E-1	8.011327173E-1
4.097700675E0	5.583162904E-1	7.047992945E-2	2.365360260E-1	6.104373777E-1
4.114412019E0	1.820612550E-1	-3.334463835E-1	2.205858231E-1	4.393072917E-1
4.131122364E0	-3.181922436E-2	-9.905565977E-1	2.930068970E-2	9.915005631E-1
4.147833190E0	2.812327743E-1	-9.341301918E-1	1.161594391E-1	9.824378371E-1
4.164543922E0	4.606562853E-2	-4.572009444E-1	-1.368293762E-1	4.794549238E-1
4.181253892E0	5.249345303E-2	-9.195597172E-1	-1.342058182E-1	9.307829165E-1
4.197965398E0	-7.943648100E-2	-1.110111594E0	-1.322002411E-1	1.120774201E0
4.214676070E0	-1.305150390E-1	-4.955834746E-1	1.114177704E-1	5.244531202E-1
4.231341545E0	4.600697756E-2	-8.213437796E-1	1.086893082E-1	8.297804601E-1
4.248061393E0	1.322719455E-1	-1.082375288E0	3.777256012E-1	1.153996864E0
4.264771617E0	-2.857536077E-1	-8.146473169E-1	1.857652664E-1	8.830708406E-1
4.281482410E0	-3.572295904E-1	-9.595217705E-1	2.421798706E-1	1.052115059E0
4.298192868E0	-1.041445732E-1	-8.564333320E-1	7.530117035E-2	8.660221767E-1
4.314903713E0	-4.288687706E-1	-1.210805535E0	-1.087064743E-1	1.289106498E0
4.331657781E0	-3.841938376E-1	-1.148164511E0	-1.496410370E-1	1.219950445E0
4.348355565E0	-4.070703387E-1	-1.214658260E0	-9.263420105E-2	1.284399488E0
4.365075320E0	-4.426101148E-1	-1.116094947E0	5.490493774E-2	1.201909396E0
4.381770295E0	-5.816221237E-1	-9.667410254E-1	1.692705154E-1	1.140843991E0
4.398504506E0	-6.267441511E-1	-9.939677715E-1	2.599668503E-1	1.203479508E0
4.415208302E0	-6.183909178E-1	-9.847022891E-1	1.685075760E-1	1.174921584E0
4.431908373E0	-7.775220871E-1	-1.065705419E0	6.265354156E-2	1.320679409E0
4.448606818E0	-7.710546255E-1	-1.006629825E0	1.996994019E-3	1.268003481E0
4.465334458E0	-6.142068505E-1	-1.034305573E0	-3.007602692E-2	1.203304882E0
4.482045445E0	-9.364129305E-1	-1.235219717E0	-2.151670456E-1	1.564906957E0
4.498755099E0	-8.512994647E-1	-1.251871824E0	-2.060127258E-2	1.514040374E0
4.515466809E0	-1.145915151E0	-9.586616755E-1	2.308921814E-1	1.511775426E0
4.532177195E0	-9.717282653E-1	-1.002277851E0	2.583169937E-1	1.419698694E0
4.548887185E0	-1.411410809E0	-1.045599580E0	4.606819153E-2	1.757122998E0
4.565598438E0	-7.769248486E-1	-1.145102739E0	1.629333496E-1	1.393348406E0
4.582309332E0	-1.190229058E0	-4.604414701E-1	-3.627490997E-2	1.276701777E0
4.599018723E0	-1.127144694E0	-1.091017604E0	3.510761261E-2	1.569078430E0
4.615730077E0	-1.169238567E0	-8.637756109E-1	1.416311264E-1	1.460577458E0
4.632450198E0	-1.452376604E0	-8.433313370E-1	7.421207428E-2	1.681104689E0
4.649141664E0	-1.431963921E0	-8.120229244E-1	6.105518341E-2	1.647309818E0
4.665861654E0	-1.212605476E0	-9.630163908E-1	-8.383750916E-3	1.548509896E0
4.682572824E0	-1.259890914E0	-1.001039147E0	-7.707691193E-2	1.611007554E0
4.699282428E0	-1.644997120E0	-8.915079832E-1	-8.665084839E-2	1.873048419E0
4.715993923E0	-1.419358134E0	-8.789192438E-1	2.188301086E-2	1.669597382E0
4.732659714E0	-1.562540054E0	-7.594133019E-1	2.630424500E-2	1.737507381E0
4.749379195E0	-1.520825148E0	-6.125715971E-1	1.538677216E-1	1.646762997E0
4.766089887E0	-1.774277687E0	-5.591255426E-1	1.159353256E-1	1.863900127E0
4.782800773E0	-1.643471003E0	-5.272200108E-1	2.084932327E-1	1.738512958E0
4.799510886E0	-1.791221976E0	-5.686635971E-1	6.704330444E-3	1.879334830E0
4.816221903E0	-1.505843043E0	-6.893022060E-1	-2.888870239E-2	1.656362086E0
4.832976235E0	-1.745889187E0	-5.572474599E-1	-2.394237518E-1	1.848236326E0
4.849678983E0	-1.450217962E0	-8.156591058E-1	1.354694366E-2	1.663915693E0
4.866385005E0	-2.067777157E0	-2.736215293E-1	7.383251190E-2	2.087108610E0
4.883081639E0	-1.928908825E0	-2.255150378E-1	5.740261078E-2	1.942895094E0
4.899787072E0	-1.539666653E0	-3.570945859E-1	2.664690018E-1	1.602839878E0
4.916498659E0	-1.958698750E0	-1.307256520E-1	1.368503571E-1	1.967820624E0
4.933206147E0	-1.873702526E0	-1.534329653E-1	8.798027039E-2	1.882031710E0
4.949922719E0	-1.984192610E0	-6.785416603E-2	4.446887970E-2	1.985850443E0
4.966629982E0	-1.694405317E0	-1.624120921E-1	-1.381797791E-1	1.707770687E0
4.983341234E0	-1.788528085E0	-2.736422420E-1	-2.421445847E-1	1.825471661E0
5.000078518E0	-1.781496763E0	-3.165950775E-1	-6.011772156E-2	1.810408048E0
5.016784754E0	-1.634707212E0	1.336904168E-1	1.450681686E-1	1.646567816E0
5.033494765E0	-1.932958126E0	5.729237199E-2	7.462978363E-2	1.935246531E0
5.050206098E0	-1.970184445E0	2.689917684E-1	1.343164444E-1	1.992993785E0
5.066916708E0	-1.881314039E0	3.485896587E-1	-8.710193634E-2	1.915318253E0
5.083626404E0	-1.835511684E0	2.267339528E-1	-5.708694458E-3	1.849471281E0
5.100337614E0	-1.980756402E0	2.084114254E-1	1.375255585E-1	1.996432950E0
5.117048886E0	-1.884213090E0	1.575656533E-1	6.094264984E-2	1.891771633E0
5.133757940E0	-1.540249348E0	2.849480808E-1	1.014146805E-1	1.569665060E0
5.150469620E0	-2.014928818E0	2.952179313E-1	-2.497673035E-2	2.036594119E0
5.167179497E0	-1.784662962E0	7.528339624E-1	-6.294822693E-2	1.937974030E0
5.183890841E0	-1.676126480E0	6.405187249E-1	9.453105927E-2	1.796830636E0
5.200601422E0	-1.699967623E0	5.085577369E-1	-1.416969299E-2	1.774463770E0
5.217267791E0	-1.739909649E0	6.023555398E-1	-8.655738831E-2	1.843260688E0
5.233986938E0	-1.516736507E0	7.491556406E-1	-2.905845642E-3	1.691665526E0
5.250697914E0	-1.635360956E0	5.176694393E-1	4.241752625E-2	1.715863151E0
5.267408005E0	-1.687709689E0	6.885242462E-1	6.935310364E-2	1.824072226E0
5.284118718E0	-1.495735645E0	7.903572917E-1	1.540870667E-1	1.698714983E0
5.300829267E0	-1.817576289E0	8.572216034E-1	1.702976227E-2	2.009652322E0
