"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.465462350E-1	-1.040877849E-1	6.723831892E-1	9.807581902E0	9.831154366E0
3.486260690E-1	-1.136590764E-1	6.723831892E-1	9.817152977E0	9.840808407E0
3.507277130E-1	-1.471585929E-1	6.723831892E-1	9.845867157E0	9.869896396E0
3.528172410E-1	-1.423729509E-1	7.010970116E-1	9.807581902E0	9.833639704E0
3.549098420E-1	-9.930214286E-2	6.915257573E-1	9.807581902E0	9.832432636E0
3.569958810E-1	-1.280160099E-1	6.723831892E-1	9.821938515E0	9.845758652E0
3.590861730E-1	-9.930214286E-2	6.675975323E-1	9.826724052E0	9.849875785E0
3.611765560E-1	-7.477571070E-2	6.299105883E-1	9.874580383E0	9.894933881E0
3.632638050E-1	-9.391828626E-2	6.107679605E-1	9.841081619E0	9.860463761E0
3.653530290E-1	-8.913264424E-2	6.107679605E-1	9.822537422E0	9.841911580E0
3.674419160E-1	-9.870393574E-2	6.197410822E-1	9.841081619E0	9.861070374E0
3.695317910E-1	-9.391828626E-2	6.251249313E-1	9.869794846E0	9.890017802E0
3.716208610E-1	-7.477571070E-2	6.251249313E-1	9.869794846E0	9.889854543E0
3.737100530E-1	-8.434699476E-2	6.155536175E-1	9.831509590E0	9.851121839E0
3.757970080E-1	-5.563312769E-2	5.964110494E-1	9.798608780E0	9.816900489E0
3.778794970E-1	-3.170489892E-2	6.011967063E-1	9.802796364E0	9.821265663E0
3.799781010E-1	-2.691925503E-2	5.868397355E-1	9.779465675E0	9.797094182E0
3.820640590E-1	1.794616925E-3	5.964110494E-1	9.788438797E0	9.806591836E0
3.841402300E-1	1.136590727E-2	5.874379873E-1	9.817152977E0	9.834719373E0
3.862262590E-1	2.572284266E-2	5.874379873E-1	9.821938515E0	9.839523425E0
3.883344750E-1	3.589234129E-2	5.778666735E-1	9.855438232E0	9.872430344E0
3.904211850E-1	2.632104978E-2	5.635097623E-1	9.836296082E0	9.852459422E0
3.925110190E-1	2.572284266E-2	5.826523304E-1	9.841081619E0	9.858348383E0
3.946050740E-1	1.136590727E-2	5.730810165E-1	9.812367439E0	9.829094862E0
3.966923640E-1	3.529413417E-2	6.113662124E-1	9.817152977E0	9.836234386E0
3.987818730E-1	1.615155302E-2	6.209374666E-1	9.854840279E0	9.874396241E0
4.008704750E-1	6.580262445E-3	6.448656917E-1	9.888339996E0	9.909347251E0
4.029602670E-1	-2.991028363E-3	6.544370055E-1	9.912267685E0	9.933848569E0
4.050462360E-1	-1.256231871E-2	6.687939167E-1	9.888339996E0	9.910938956E0
4.071260300E-1	-2.273181453E-2	6.921239495E-1	9.859625816E0	9.883914889E0
4.092287830E-1	-4.187439755E-2	7.064808607E-1	9.873982430E0	9.899312991E0
4.113193690E-1	-2.751746029E-2	7.160521746E-1	9.868598938E0	9.894580988E0
4.134097620E-1	-4.666004330E-2	7.256234884E-1	9.882955551E0	9.909667857E0
4.154959330E-1	-3.230310604E-2	7.304090858E-1	9.902098656E0	9.929053264E0
4.175847100E-1	-4.666004330E-2	7.399803996E-1	9.892526627E0	9.920273747E0
4.196745120E-1	-5.144568533E-2	7.543373108E-1	9.887741089E0	9.916607045E0
4.217637660E-1	-3.230310604E-2	7.639086246E-1	9.882955551E0	9.912487594E0
4.238531210E-1	-3.708875179E-2	7.639086246E-1	9.882955551E0	9.912504345E0
4.259428330E-1	-3.708875179E-2	7.591229677E-1	9.921240807E0	9.950309663E0
4.280335820E-1	-4.187439755E-2	7.543373108E-1	9.902098656E0	9.930877908E0
4.301210560E-1	-3.230310604E-2	7.351947427E-1	9.916455269E0	9.943723644E0
4.322102180E-1	-3.708875179E-2	7.304090858E-1	9.926026344E0	9.952932834E0
4.342958400E-1	-3.649054468E-2	7.022934556E-1	9.940383911E0	9.965228545E0
4.363760510E-1	-4.127619043E-2	6.729813814E-1	9.917053223E0	9.939947298E0
4.384781220E-1	-6.520441920E-2	6.586244106E-1	9.912267685E0	9.934338850E0
4.405674990E-1	-7.477571070E-2	6.490531564E-1	9.922437668E0	9.943924310E0
4.426611670E-1	-8.913264424E-2	6.203392744E-1	9.908080101E0	9.927880777E0
