"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
4.653906015E0	-4.197955132E-4	2.344146371E-3	-1.007652283E-2	1.035410850E-2
4.670589976E0	1.269578934E-4	7.088698447E-3	-5.073547363E-4	7.107965448E-3
4.687315867E0	1.256167889E-4	2.320870757E-3	-5.292892456E-3	5.780737946E-3
4.704028859E0	-5.199700594E-3	2.340160310E-3	-1.007652283E-2	1.157797689E-2
4.720737500E0	-4.495024681E-3	2.307973802E-3	-5.287170410E-3	7.313423337E-3
4.737450288E0	-5.085974932E-3	7.004015148E-3	-5.006790161E-4	8.670296919E-3
4.754159955E0	2.466738224E-4	2.186343074E-3	-5.016326904E-4	2.256674404E-3
4.770870527E0	4.576236010E-3	6.882511079E-3	-4.968643188E-4	8.279961891E-3
4.787581189E0	-2.596080303E-4	1.157111675E-2	-5.282402039E-3	1.272249623E-2
4.804289971E0	-3.113150597E-4	6.745114923E-3	4.287719727E-3	7.998626935E-3
4.821005274E0	-3.116130829E-4	2.077795565E-3	-4.997253418E-4	2.159644077E-3
4.837709426E0	-3.118515015E-4	1.996092498E-3	-4.987716675E-4	2.080963670E-3
4.854428165E0	-2.617835999E-4	6.842322648E-3	-5.283355713E-3	8.648685302E-3
4.871156977E0	3.351271152E-4	2.124957740E-3	-4.978179932E-4	2.208071180E-3
4.887844875E0	2.335906029E-4	-2.686373889E-3	-5.006790161E-4	2.742598899E-3
4.904556524E0	2.827942371E-4	6.896570325E-3	-4.997253418E-4	6.920432085E-3
4.921265580E0	2.808272839E-4	6.905473769E-3	4.285812378E-3	8.132196485E-3
4.937977851E0	3.298223019E-4	2.187654376E-3	-5.284309387E-3	5.728746819E-3
4.954687771E0	-4.448860884E-3	2.207204700E-3	-4.997253418E-4	4.991376680E-3
4.971398252E0	-1.611113548E-4	6.904549897E-3	-5.280494690E-3	8.693813336E-3
4.988109047E0	4.350244999E-4	2.185277641E-3	-4.949569702E-4	2.282469515E-3
5.004820747E0	4.342794418E-4	2.306550741E-3	4.287719727E-3	4.888078908E-3
5.021529540E0	-1.142323017E-4	2.324156463E-3	-5.281448364E-3	5.771347252E-3
5.038197071E0	-1.653432846E-4	7.059417665E-3	-4.968643188E-4	7.078812776E-3
5.054915984E0	-1.170039177E-4	2.269767225E-3	-5.280494690E-3	5.748839652E-3
5.071627330E0	4.794597626E-4	7.046692073E-3	-4.949569702E-4	7.080306013E-3
5.088336945E0	5.204170942E-3	2.207167447E-3	-4.968643188E-4	5.674668051E-3
5.105048533E0	4.546672106E-3	2.303048968E-3	-1.007080078E-2	1.128704081E-2
5.121756115E0	3.572702408E-4	2.300538123E-3	-5.285263062E-3	5.775302876E-3
5.138516532E0	4.586547613E-3	7.128708065E-3	-4.978179932E-4	8.491332076E-3
5.155214743E0	-2.002716064E-4	2.190746367E-3	-4.968643188E-4	2.255294329E-3
5.171926547E0	-2.009272575E-4	7.017619908E-3	-4.978179932E-4	7.038123591E-3
5.188637230E0	4.576712847E-3	2.332836390E-3	-4.987716675E-4	5.161123839E-3
5.205347609E0	-1.606345177E-4	7.006287575E-3	-5.281448364E-3	8.775395481E-3
5.222057926E0	4.566013813E-3	7.045641541E-3	-5.284309387E-3	9.920356474E-3
5.238769759E0	-1.711845398E-4	2.305835485E-3	-5.283355713E-3	5.767150858E-3
